idx,sigma,ratio_inf_to_sigma,p_cur,p_vt,delta_cur_minus_vt
773,0.0197768684039002,0.2060060255233201,0.60805,0.639,-0.030950000000000033
775,0.0202030916735184,0.2456426170517895,0.6225,0.65055,-0.02804999999999991
778,0.0202618109072701,0.2319412457445272,0.62085,0.65045,-0.02959999999999996
779,0.0203340546919212,0.2235675901713896,0.62645,0.65465,-0.028200000000000003
782,0.0202695188098923,0.2207418598503611,0.6176,0.6463,-0.028699999999999948
783,0.0202437048825658,0.2173540275257706,0.62425,0.65355,-0.029299999999999993
785,0.0200279370293251,0.2123522866338524,0.61425,0.6452,-0.030950000000000033
786,0.0201317583561437,0.2148195621583459,0.6127,0.643,-0.030299999999999994
787,0.0201645522848719,0.2155499520671442,0.62165,0.6514,-0.029749999999999943
788,0.0200716227691336,0.2288666906702292,0.62535,0.6559,-0.030550000000000077
789,0.0200406449220919,0.2300152657004968,0.60825,0.63685,-0.02860000000000007
795,0.0201475930424731,0.2137403740190536,0.61935,0.64805,-0.02870000000000006
803,0.0206791200001403,0.2177829312176586,0.63,0.66085,-0.030850000000000044
804,0.0206719710279695,0.2177307598789231,0.62265,0.6533,-0.030649999999999955
807,0.0206172928529822,0.2230182233621279,0.6303,0.66015,-0.029850000000000043
808,0.0205756412068689,0.2247717809275676,0.6321,0.66245,-0.030349999999999988
809,0.0205452718828568,0.2154140320208858,0.6281,0.6558,-0.027700000000000058
810,0.0204306013496986,0.2130303085428707,0.6292,0.6583,-0.029100000000000015
812,0.0204652494860314,0.2191233636994693,0.621,0.6522,-0.031200000000000006
814,0.0203783725076659,0.2270728674477088,0.6263,0.6546,-0.028299999999999992
819,0.0201070830094042,0.2054634127476522,0.6182,0.64745,-0.029249999999999998
821,0.020208201787834,0.2080399235564367,0.6199,0.6511,-0.031200000000000006
823,0.0200196839843899,0.2028112912143769,0.62235,0.6537,-0.03134999999999999
824,0.0198304514489745,0.1976200153075056,0.61055,0.63935,-0.028799999999999937
826,0.019685048863474,0.1931675824805995,0.6093,0.6398,-0.030500000000000083
882,0.0189929428585213,0.65728762251906,0.60225,0.62025,-0.018000000000000016
885,0.0186333303383062,0.5026089452242227,0.5916,0.6151,-0.023499999999999965
886,0.0185529582006137,0.5073066858247728,0.59265,0.61635,-0.023699999999999943
887,0.0184921576761714,0.5085708179863994,0.5986,0.62405,-0.025449999999999973
888,0.0181303032469269,0.5719215029647712,0.58485,0.60605,-0.021199999999999997
889,0.0179677457660292,0.5842199518893108,0.585,0.60775,-0.022750000000000048
892,0.017739525034775,0.593023273045737,0.57355,0.5957,-0.022150000000000003
893,0.0181221581176215,0.5802216718019357,0.58145,0.6013,-0.019849999999999923
894,0.0179519665505975,0.5941906096997626,0.5768,0.6,-0.0232
895,0.0179341144301112,0.6014244572018501,0.58435,0.6057,-0.02134999999999998
896,0.0178246819179916,0.6089049678203633,0.57925,0.6016,-0.02234999999999998
897,0.0176760633127496,0.6196950238038561,0.5768,0.59985,-0.023050000000000015
898,0.0177600359796923,0.6159742983891793,0.5782,0.5977,-0.019499999999999962
900,0.017440263678859,0.6373260927628766,0.56935,0.5895,-0.02015
901,0.0174339256167088,0.6374605292956634,0.56645,0.58725,-0.02080000000000004
902,0.0176817001012059,0.6241212985621944,0.57675,0.599,-0.022249999999999992
903,0.0177379549261757,0.6306673188962949,0.57935,0.59935,-0.020000000000000018
904,0.0180811205709238,0.6076312973835745,0.58125,0.6034,-0.022150000000000003
905,0.0186131960791552,0.5907728222605532,0.5948,0.61855,-0.02375000000000005
906,0.0185902960193761,0.5926837236239709,0.5942,0.6139,-0.01970000000000005
908,0.0184093734749293,0.6065281031011026,0.5956,0.6159,-0.020299999999999985
909,0.0184675369366801,0.6146829078599472,0.59805,0.61775,-0.01970000000000005
910,0.0183710233000129,0.6197066926523983,0.58925,0.60965,-0.020399999999999974
911,0.0182657747710317,0.6251076911369734,0.58535,0.6043,-0.01894999999999991
912,0.0181689150259683,0.6328547322198849,0.5866,0.6066,-0.020000000000000018
913,0.0180704162365875,0.6410985998727724,0.5802,0.59935,-0.01915
914,0.0180382074630724,0.6480439502175296,0.58255,0.59985,-0.017299999999999982
915,0.018121297241519,0.6471174489725446,0.59125,0.61015,-0.018899999999999917
917,0.0179149003022799,0.6650120015315883,0.5802,0.5982,-0.017999999999999905
918,0.0178036267976398,0.6716810425553276,0.58295,0.6013,-0.018349999999999977
920,0.0175638772461399,0.6868206906517145,0.57555,0.59335,-0.017800000000000038
922,0.0173154855371225,0.702987983384711,0.5688,0.58765,-0.018850000000000033
923,0.0171594408501982,0.7145139241929344,0.56805,0.58655,-0.01849999999999996
924,0.0170893598374746,0.7197643546009876,0.56525,0.5823,-0.01705000000000001
925,0.0169243285711575,0.7333844082823008,0.5647,0.58105,-0.016349999999999976
926,0.016919280094606,0.7379115957528861,0.5636,0.57935,-0.015750000000000042
927,0.0169240875971629,0.7310218601932293,0.56195,0.5773,-0.015350000000000086
930,0.0171827710451236,0.7256940930849343,0.5681,0.5844,-0.01629999999999998
931,0.0172213302748191,0.7259716620849389,0.5661,0.58265,-0.016549999999999954
932,0.0171265700355512,0.7325264779756167,0.5674,0.58545,-0.01805000000000001
933,0.0178057810308234,0.7051414387188486,0.57695,0.5945,-0.017550000000000066
934,0.0182242582739532,0.6897177724758036,0.59015,0.6082,-0.01805000000000001
935,0.0181048960484887,0.6933196268724159,0.58605,0.60335,-0.017300000000000093
936,0.0180222548388365,0.7028570392750073,0.5857,0.6023,-0.016599999999999948
940,0.0176533727057341,0.7256056986303142,0.5844,0.6013,-0.016899999999999915
942,0.0175247954162439,0.7497786933798839,0.57305,0.5881,-0.015050000000000008
946,0.017565483184576,0.7554301420345723,0.57615,0.592,-0.01584999999999992
948,0.0173588938489836,0.7915011600060505,0.57315,0.58505,-0.01189999999999991
950,0.0170847685952035,0.8076715068085504,0.5669,0.5795,-0.012600000000000056
951,0.0169673841794824,0.8136143879951879,0.5618,0.5733,-0.011500000000000066
952,0.0168236386099866,0.8206322266617253,0.5667,0.57975,-0.013050000000000006
954,0.0169062066928919,0.8167606280345887,0.5711,0.581,-0.009899999999999909
956,0.0171112655648215,0.8086532926655737,0.5712,0.5831,-0.01189999999999991
957,0.0169871947532012,0.8190087343286981,0.56715,0.57925,-0.0121
959,0.0169149967373742,0.8226844378841439,0.56865,0.5793,-0.010650000000000048
960,0.0193230152117877,0.7225153856023118,0.6071,0.62195,-0.01485000000000003
961,0.019163072472819,0.7297508052977689,0.6008,0.6142,-0.013399999999999967
963,0.0188874582349641,0.7398357669127824,0.6034,0.6177,-0.01429999999999998
964,0.0187083791124435,0.7441388217351388,0.59475,0.6103,-0.015549999999999953
965,0.0185512678244999,0.7521615444292766,0.59315,0.60685,-0.013700000000000045
966,0.0184523103209479,0.7567520392450152,0.59555,0.6095,-0.013950000000000018
967,0.0182879571880031,0.7605938057241927,0.58745,0.6019,-0.014449999999999963
968,0.0196258135118033,0.7144891094105469,0.61325,0.62805,-0.014800000000000035
969,0.0198829281597298,0.705068659975118,0.61575,0.63235,-0.016599999999999948
970,0.0197643237356608,0.7040134925793834,0.617,0.6319,-0.014900000000000024
971,0.0195438964577561,0.7057643612688433,0.6136,0.63105,-0.017449999999999966
972,0.0193728594270225,0.706467337595939,0.60965,0.6262,-0.016549999999999954
